"STATION","NAME","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-01","0","29","1","-6","6","2.5","0.06","50","4312","0.11","2.8","26.8","38.4","15.2"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-02","0","6","4","13","4","4.0","0.40","60","5144","0.85","9.0","35.3","45.5","25.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-03","0","6","5","3","2","6.0","0.31","61","6027","0.82","16.5","36.5","48.4","24.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-04","0","3","5","17","6","8.5","0.79","68","6779","2.49","20.5","39.9","51.3","28.5"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-05","2","0","0","28","0","0.0","0.48","79","7190","1.39","0.0","51.8","64.7","39.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-06","83","0","0","38","0","0.0","0.29","91","7253","0.83","0.0","65.6","81.1","50.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-07","227","0","0","46","0","0.0","0.22","94","6","0.71","0.0","69.4","86.0","52.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-08","378","0","0","44","0","0.0","0.31","99","20","0.58","0.0","69.4","86.1","52.8"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-09","380","2","1","19","2","1.5","0.95","80","507","4.90","1.5","48.8","60.5","37.1"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-10","380","10","5","9","7","7.4","0.60","75","1206","2.11","17.8","42.5","55.0","29.9"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-11","380","29","6","1","6","4.5","0.50","53","2273","1.11","13.7","29.4","40.3","18.6"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1961-12","380","31","4","-23","6","2.2","0.09","49","3597","0.26","6.8","22.3","31.6","13.0"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1962-01","0","31","5","-30","22","7.2","0.48","54","5129","1.27","19.2","15.6","26.7","4.4"
"USC00241044","BOZEMAN MONTANA STATE UNIVERSITY, MT US","1962-02","0","28","7","-20","14","2.0","0.15","60","6281","0.49","9.9","23.8","33.8","13.9"
