Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Havre,USW00094012,"HAVRE AIRPORT ASOS, MT US",2019,301,100,22,-41,13,6.4,0.65,100,9042,12.37,76.1,39.9,52.5,27.2
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1949,197,,28,-36,,7.5,0.83,95,8703,17.14,81.1,42.3,55.2,29.5
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1950,,,,,,,,,8195,,,,,
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1951,148,,33,-31,,6,1.53,96,,20.2,96.5,40,52,28
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1952,166,148,,-21,21,,2.06,92,8800,19.59,,43.1,55.7,30.5
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1953,262,87,,-6,11,,1.49,94,7564,16.41,,46.1,57.8,34.3
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1954,250,,17,-25,,12,1.18,93,7405,12.72,56.8,44.4,56.3,32.5
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1955,289,154,34,-26,24,14,1.1,94,8515,19.1,114.3,40.7,52.1,29.2
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1956,203,,,-29,,,0.6,89,8452,11.24,,43.4,55.3,31.5
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1957,208,,,-30,,,1.13,93,8249,16.52,,42.8,54.4,31.1
Bozeman,USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1958,175,,33,-8,,10,0.87,91,7509,18.14,80,44.9,56.9,33
